z_index,z_obs,tage_gyr,mag_u,mag_b,mag_v,mag_sdss_g,mag_sdss_r
2,0.020203,6.113579,43.073250,41.789168,40.975848,41.446316,40.700547
2,0.020203,6.217199,43.096086,41.808379,40.992051,41.464222,40.715698
2,0.020203,6.320819,43.118647,41.827266,41.007937,41.481804,40.730538
2,0.020203,6.424439,43.138194,41.843316,41.021398,41.496725,40.743117
2,0.020203,6.528059,43.157778,41.859346,41.034809,41.511611,40.755638
2,0.020203,6.631679,43.177404,41.875357,41.048173,41.526464,40.768105
2,0.020203,6.735299,43.197079,41.891354,41.061492,41.541289,40.780520
2,0.020203,6.838919,43.216808,41.907340,41.074769,41.556087,40.792886
2,0.020203,6.942539,43.236598,41.923320,41.088007,41.570863,40.805205
2,0.020203,7.046159,43.256454,41.939296,41.101209,41.585619,40.817479
2,0.020203,7.149779,43.275946,41.956016,41.115982,41.601495,40.831524
2,0.020203,7.253399,43.295298,41.973107,41.131507,41.617916,40.846410
2,0.020203,7.357019,43.314720,41.990223,41.147032,41.634351,40.861288
2,0.020203,7.460639,43.334216,42.007367,41.162561,41.650803,40.876160
2,0.020203,7.564259,43.353792,42.024545,41.178096,41.667276,40.891030
2,0.020203,7.667879,43.373454,42.041759,41.193641,41.683773,40.905899
2,0.020203,7.771499,43.393207,42.059014,41.209198,41.700299,40.920771
2,0.020203,7.875118,43.413058,42.076314,41.224771,41.716855,40.935648
2,0.020203,7.978738,43.431845,42.092285,41.238867,41.732019,40.949011
2,0.020203,8.082358,43.448452,42.105620,41.250073,41.744438,40.959427
2,0.020203,8.185978,43.465101,42.118948,41.261251,41.756839,40.969809
2,0.020203,8.289598,43.481794,42.132270,41.272402,41.769225,40.980159
2,0.020203,8.393218,43.498536,42.145590,41.283529,41.781597,40.990478
2,0.020203,8.496838,43.515330,42.158908,41.294632,41.793958,41.000768
2,0.020203,8.600458,43.532179,42.172228,41.305713,41.806308,41.011030
2,0.020203,8.704078,43.549087,42.185550,41.316774,41.818650,41.021265
2,0.020203,8.807698,43.566058,42.198877,41.327816,41.830985,41.031474
2,0.020203,8.911318,43.583095,42.212212,41.338840,41.843316,41.041659
2,0.020203,9.014938,43.598702,42.225123,41.350204,41.855553,41.052439
2,0.020203,9.118558,43.614336,42.238034,41.361561,41.867787,41.063209
2,0.020203,9.222178,43.630019,42.250952,41.372908,41.880019,41.073963
2,0.020203,9.325798,43.645752,42.263878,41.384246,41.892252,41.084703
2,0.020203,9.429418,43.661538,42.276815,41.395576,41.904487,41.095430
2,0.020203,9.533038,43.677382,42.289764,41.406900,41.916726,41.106145
2,0.020203,9.636658,43.693284,42.302727,41.418219,41.928969,41.116849
2,0.020203,9.740278,43.709250,42.315705,41.429534,41.941219,41.127543
2,0.020203,9.843898,43.725280,42.328701,41.440847,41.953476,41.138229
2,0.020203,9.947518,43.741380,42.341715,41.452159,41.965743,41.148908
2,0.020203,10.051138,43.756421,42.353654,41.462408,41.976955,41.158516
2,0.020203,10.154758,43.770347,42.364472,41.471556,41.987068,41.167014
2,0.020203,10.258378,43.784310,42.375286,41.480687,41.997171,41.175493
3,0.030304,0.000001,35.837752,35.946771,36.192338,36.019954,36.306658
3,0.030304,0.102361,39.004708,38.346871,38.265495,38.285740,38.256653
3,0.030304,0.204722,39.767743,38.852921,38.760788,38.776845,38.769080
3,0.030304,0.307082,40.265524,39.208314,39.065532,39.111361,39.057840
3,0.030304,0.409443,40.596175,39.478258,39.295515,39.364925,39.273419
3,0.030304,0.511803,40.868551,39.727943,39.484802,39.592518,39.439687
3,0.030304,0.614164,41.100397,39.946138,39.639648,39.787346,39.570637
3,0.030304,0.716524,41.285299,40.136185,39.778625,39.958409,39.690903
3,0.030304,0.818885,41.451165,40.308247,39.905024,40.113711,39.797969
3,0.030304,0.921245,41.591833,40.461403,40.015055,40.252192,39.888708
3,0.030304,1.023606,41.711566,40.582940,40.099454,40.362628,39.953863
3,0.030304,1.125966,41.819900,40.680194,40.146414,40.443253,39.978094
3,0.030304,1.228327,41.916092,40.762976,40.171558,40.504653,39.979136
3,0.030304,1.330687,42.043238,40.896754,40.284327,40.631044,40.082212
3,0.030304,1.433048,42.179232,41.047435,40.429228,40.780361,40.223097
3,0.030304,1.535408,42.275660,41.145321,40.522166,40.876679,40.314269
3,0.030304,1.637769,42.365235,41.234252,40.604102,40.963131,40.393719
3,0.030304,1.740129,42.447771,41.313871,40.674697,41.039342,40.461128
3,0.030304,1.842489,42.523613,41.385957,40.737073,41.107567,40.520352
3,0.030304,1.944850,42.595537,41.453483,40.794293,41.170866,40.574410
3,0.030304,2.047210,42.663713,41.517855,40.849549,41.231459,40.626900
3,0.030304,2.149571,42.728006,41.579015,40.902899,41.289341,40.677901
3,0.030304,2.251931,42.791685,41.638984,40.954352,41.345736,40.726755
3,0.030304,2.354292,42.846582,41.687489,40.992314,41.389908,40.761113
3,0.030304,2.456652,42.901878,41.736052,41.029947,41.433952,40.795060
3,0.030304,2.559013,42.955616,41.784737,41.069878,41.478988,40.832057
3,0.030304,2.661373,43.007364,41.833628,41.112742,41.525340,40.872897
3,0.030304,2.763734,43.059602,41.882848,41.155651,41.571893,40.913701
3,0.030304,2.866094,43.107938,41.927616,41.193945,41.613924,40.949818
3,0.030304,2.968455,43.151442,41.966952,41.226739,41.650496,40.980392
3,0.030304,3.070815,43.195195,42.006357,41.259392,41.687039,41.010770
3,0.030304,3.173176,43.238482,42.045170,41.291404,41.722954,41.040516
3,0.030304,3.275536,43.275453,42.078053,41.318818,41.753468,41.066156
3,0.030304,3.377897,43.312528,42.110902,41.346065,41.783885,41.091599
3,0.030304,3.480257,43.349749,42.143751,41.373169,41.814231,41.116865
3,0.030304,3.582618,43.385413,42.175497,41.399832,41.843758,41.141883
3,0.030304,3.684978,43.417745,42.205011,41.425754,41.871702,41.166581
3,0.030304,3.787338,43.450144,42.234508,41.451574,41.899589,41.191153
3,0.030304,3.889699,43.482635,42.264008,41.477309,41.927437,41.215616
3,0.030304,3.992059,43.514743,42.293077,41.502601,41.954846,41.239638
3,0.030304,4.094420,43.542750,42.318339,41.524689,41.978707,41.260658
3,0.030304,4.196780,43.570779,42.343556,41.546673,42.002496,41.281558
3,0.030304,4.299141,43.598848,42.368744,41.568565,42.026225,41.302350
3,0.030304,4.401501,43.626976,42.393916,41.590377,42.049907,41.323044
3,0.030304,4.503862,43.653501,42.417816,41.611291,42.072487,41.342943
3,0.030304,4.606222,43.677080,42.439436,41.630661,42.093124,41.361494
3,0.030304,4.708583,43.700647,42.461006,41.649946,42.113694,41.379949
3,0.030304,4.810943,43.724213,42.482536,41.669153,42.134207,41.398317
3,0.030304,4.913304,43.747789,42.504033,41.688291,42.154670,41.416603
3,0.030304,5.015664,43.771314,42.525434,41.707302,42.175021,41.434756
3,0.030304,5.118025,43.792997,42.544860,41.724568,42.193484,41.451264
3,0.030304,5.220385,43.814679,42.564245,41.741762,42.211891,41.467693
3,0.030304,5.322746,43.836369,42.583596,41.758891,42.230249,41.484047
3,0.030304,5.425106,43.858076,42.602919,41.775961,42.248564,41.500333
3,0.030304,5.527466,43.879807,42.622221,41.792976,42.266842,41.516555
3,0.030304,5.629827,43.901594,42.641501,41.809903,42.285068,41.532668
3,0.030304,5.732187,43.923786,42.660648,41.826180,42.302947,41.547945
3,0.030304,5.834548,43.946036,42.679790,41.842411,42.320801,41.563164
3,0.030304,5.936908,43.968352,42.698935,41.858599,42.338635,41.578330
3,0.030304,6.039269,43.990743,42.718086,41.874749,42.356455,41.593445
3,0.030304,6.141629,44.013217,42.737251,41.890866,42.374265,41.608514
3,0.030304,6.243990,44.035783,42.756435,41.906953,42.392070,41.623541
3,0.030304,6.346350,44.057230,42.774503,41.922058,42.408816,41.637644
3,0.030304,6.448711,44.076560,42.790528,41.935417,42.423649,41.650116
3,0.030304,6.551071,44.095927,42.806536,41.948728,42.438449,41.662534
3,0.030304,6.653432,44.115338,42.822530,41.961994,42.453220,41.674899
3,0.030304,6.755792,44.134797,42.838513,41.975218,42.467964,41.687215
3,0.030304,6.858153,44.154311,42.854489,41.988402,42.482685,41.699484
3,0.030304,6.960513,44.173885,42.870462,42.001549,42.497385,41.711708
3,0.030304,7.062874,44.193525,42.886435,42.014662,42.512068,41.723889
